cluster,observer_path,observer_label_values,observer_type,observer_value_class,observer_sample,observer_n_files,viewpoint_path,viewpoint_short_label,viewpoint_long_label,viewpoint_type,viewpoint_value_class,viewpoint_sample,viewpoint_n_files,notes
biometry,fetuses[].measurements[].calculated_percentile,Femur,float,decimal,46.8|33.7|39.4|17.6,4/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_percentile,HC,float,decimal,42.5|5.1|15.9|34.5,4/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_percentile,Humerus,float,decimal,49.2|64.1,2/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_percentile,Nuchal Fold,int,integer,0,1/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_z_score,AC,int,integer,0,4/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_z_score,BPD,int,integer,0,4/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_z_score,CRL,int,integer,0,1/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_z_score,Cerebellum,int,integer,0,1/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_z_score,Femur,int,integer,0,4/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_z_score,HC,int,integer,0,4/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_z_score,Humerus,int,integer,0,2/5,,,,,,,,
biometry,fetuses[].measurements[].calculated_z_score,Nuchal Fold,int,integer,0,1/5,,,,,,,,
biometry,fetuses[].measurements[].decimal_places,AC,int,integer,2,4/5,,,,,,,,
biometry,fetuses[].measurements[].decimal_places,BPD,int,integer,2,4/5,,,,,,,,
biometry,fetuses[].measurements[].decimal_places,CRL,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].decimal_places,Cerebellum,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].decimal_places,Femur,int,integer,2,4/5,,,,,,,,
biometry,fetuses[].measurements[].decimal_places,HC,int,integer,2,4/5,,,,,,,,
biometry,fetuses[].measurements[].decimal_places,Humerus,int,integer,1,2/5,,,,,,,,
biometry,fetuses[].measurements[].decimal_places,Nuchal Fold,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].fetus_number,AC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].fetus_number,BPD,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].fetus_number,CRL,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].fetus_number,Cerebellum,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].fetus_number,Femur,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].fetus_number,HC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].fetus_number,Humerus,int,integer,1,2/5,,,,,,,,
biometry,fetuses[].measurements[].fetus_number,Nuchal Fold,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].include_in_avg_ga_calc,AC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].include_in_avg_ga_calc,BPD,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].include_in_avg_ga_calc,CRL,int,integer,1,1/5,,,,,,,,
biometry,fetuses[].measurements[].include_in_avg_ga_calc,Cerebellum,int,integer,0,1/5,,,,,,,,
biometry,fetuses[].measurements[].include_in_avg_ga_calc,Femur,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].include_in_avg_ga_calc,HC,int,integer,1,4/5,,,,,,,,
biometry,fetuses[].measurements[].include_in_avg_ga_calc,Humerus,int,integer,0,2/5,,,,,,,,
biometry,fetuses[].measurements[].include_in_avg_ga_calc,Nuchal Fold,int,integer,0,1/5,,,,,,,,
biometry,fetuses[].measurements[].label,AC,str,coded_text,AC,4/5,OBX U_FGRData_F_6v65c63705.AbdominalCircumference,AC,AC,str (ST),coded_text,"193.7 mm |145.5 mm , 145.5 mm , 145.5 mm , 145.5 mm |189.8 mm , 189.8 mm , 189.8 mm |281.3 mm , 281.3 mm , 281.3 mm |218.1 mm , 218.1 mm , 218.1 mm |179 mm , 179 mm , 179 mm , 179 mm ",6/7,
biometry,fetuses[].measurements[].label,BPD,str,coded_text,BPD,4/5,,,,,,,,
